Metric Label,Unit,Metric Ref,Components,Terms,Complexity,Definition,Metric Expression,Periods,Dims,Business Model(s),Buying Model(s),Set(s),Theme,Source System(s),Owning Team(s),Watching Team(s)
Bookings Acquisition Cost,$,BksAC,SalesMktSpend; TotBks,,Composite,The ratio of Sales and Marketing Spend against New Bookings.,{SalesMktSpendₜ} / {TotBksₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,CRM; ERP,Sales; Marketing,Finance
Payback Period,n,PaybackPd,BlendedCAC; GrossMarginPerCust,,Composite,"The average duration, in months, required to repay the Blended CAC for a typical customer using the recurring Gross Margin contribution from that customer.",{BlendedCACₜ} / ({GrossMarginPerCustₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,CRM; ERP,Finance,Sales; Marketing
LTV:CAC Ratio,n,LTV:CAC,LTV; CAC,,Composite,The ratio of Customer Lifetime Value against Customer Acquisition Cost.,{LTVₜ} / {CACₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,CRM; ERP,Finance,Sales; Marketing; Customer Success
New ACV to CAC Ratio,$,NewACVToCAC,NewACV; CAC,,Composite,The ratio of New ACV against CAC.,{NewACVₜ} / {CACₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,CRM; ERP,Sales; Marketing,Finance
Total Weighted ACV,$,TotWtdACV,ACV,Annual Contract Value,Atomic,"The sum of Annual Contract Value across all contracts active at the beginning of the period, weighted by the share of the Total Annual Contract Value represented by each contract.",,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Strategic,CRM; ERP; Billing & Invoicing,Finance,Sales
Revenue Concentration,%,RevConcn,TotMRR,Customers,Atomic,The share of Total MRR concentrated in the largest Customers.,,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Strategic,Billing & Invoicing; ERP; CRM,Finance,Sales
Non-Recurring Bookings,$,NonRecurBks,,,Atomic,"The sum of non-recurring future revenue booked in the period, inclusive of one-time fees, professional services, hardware sales, and overages.",,"Month, Quarter",[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Financials,Bookings,CRM; ERP; Billing & Invoicing,Sales,Finance
COGS,$,COGS,,,Composite,"The sum of spend incurred to provision or maintain contracted software for active customers in the period. Servicing Spend includes: software/platform hosting costs, employee costs related to keeping the production environment running, costs of third-party software or data that is bundled into the product, fully-loaded costs of Customer Success and Customer Support, and any other direct employee costs required to deliver the ongoing service.",,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Accounting/Bookkeeping; ERP,Finance,Customer Success; Customer Support
Cost To Serve,$,CTS,COGS; TotCust,,Composite,The ratio of COGS against Total Customers.,{COGSₜ} / {TotCustₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Accounting/Bookkeeping; ERP; CRM,Customer Success,Finance
Credits and Refunds,$,CredsRefunds,,,Atomic,The sum of spend incurred on credits and refunds issued to customers in the period.,,"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Billing & Invoicing; ERP,Finance,Customer Success; Customer Support
Gross Profit,$,GrossProfit,NetRev; COGS,,Composite,The Net Revenue in the period net of the Cost of Goods Sold.,{NetRevₜ} - {COGSₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Accounting/Bookkeeping; ERP,Finance,None
Cost of Revenue,$,COR,COGS; SalesMktSpend,,Composite,The sum of Cost of Goods Sold and Sales and Marketing Spend.,{COGSₜ} + {SalesMktSpendₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Accounting/Bookkeeping; ERP,Finance,None
Gross Margin,n,GrossMargin,GrossProfit; TotMRR,,Composite,The ratio of Gross Profit against Total MRR.,{GrossProfitₜ} / {TotMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,Accounting/Bookkeeping; ERP,Finance,None
Gross Margin Per Customer,$,GrossMarginPerCust,GrossMargin; TotCust,,Composite,The ratio of Gross Margin against Total Customers.,{GrossMarginₜ} / {TotCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,,,Accounting/Bookkeeping; ERP; CRM,Finance,Sales; Marketing
Net Revenue,$,NetRev,TotRev; CredsRefunds,,Composite,The amount of Total Revenue net of Credits and Refunds.,{TotRevₜ} - {CredsRefundsₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials,Revenue,Billing & Invoicing; ERP,Finance,None
Remaining Performance Obligations,$,RPO,,Recognized Revenue,Atomic,"The sum of contracted revenue that remains unearned, unbilled, or otherwise unrecognized.",,"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials,Bookings,Contract Lifecycle Management; ERP,Finance,Finance
LTV,$,LTV,TotMRR; ExpCustLife,,Composite,The average amount of Recurring Revenue a Customer is expected to generate before churning.,{TotMRRₜ} * {ExpCustLifeₜ},Month,,B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,CRM; ERP,Finance,Sales; Customer Support
Ad Spend,$,AdSpend,,,Atomic,"The sum of spend incurred in the period on advertising campaigns, including online, broadcast, print, outdoor, and direct mail efforts.",,"Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Financials; Demand Generation,Acquisition Spend,Marketing Automation,Marketing,Finance
Display Ad Spend,$,DisplayAdSpend,,,Atomic,The sum of spend incurred on display ads served in the period.,,"Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Financials; Demand Generation,Acquisition Spend,Marketing Automation,Marketing,Finance
Search Ad Spend,$,SearchAdSpend,,,Atomic,The sum of spend incurred on PPC search advertising served in the period.,,"Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Financials; Demand Generation,Acquisition Spend,Marketing Automation,Marketing,Finance
Marketing Spend,$,MktSpend,,,Atomic,"The sum of fully-loaded spend on acquisition marketing in the period, inclusive of both variable marketing campaign costs and fixed costs like pro-rated spend on software and salaries.",,"Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Financials; Demand Generation,Acquisition Spend,Accounting/Bookkeeping; Marketing Automation,Marketing,Finance
Sales and Marketing Spend,$,SalesMktSpend,SalesSpend; SalesDevSpend; MktSpend,,Composite,The sum of Marketing Spend and Sales Spend in the period.,{SalesSpendₜ} + {SalesDevSpendₜ} + {MktSpendₜ},"Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Financials,Acquisition Spend,Accounting/Bookkeeping; CRM,Sales; Marketing,Finance
New Business Bookings,$,NewBizBks,,Contract Value; New Business Deal,Atomic,The sum of Contract Value for New Business Deals won in the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Financials; Purchase,Bookings,CRM,Sales,Finance
Total Bookings,$,TotBks,,Contract Value; Won Deal,Atomic,The sum of Contract Value across all Won Deals in the period.,,Week; Month; Quarter,[Opportunity Dims]; [Customer Dims],B2B SaaS,Enterprise; Hybrid,Financials; Purchase,Bookings,CRM; ERP; Billing & Invoicing,Sales,Finance
Net Bookings,$,NetBks,TotBks; ChurnBks,,Composite,The Total Bookings in the period net of Churned Bookings.,{TotBksₜ} - {ChurnBks},Month; Quarter,,B2B SaaS,Enterprise; Hybrid,Financials,Bookings,CRM; ERP; Billing & Invoicing,Sales,Finance
Booking to Revenue Rate,%,BksToRevRate,TotBks; TotMRR,,Composite,The ratio of Total Bookings against Total MRR.,{TotBksₜ} / {TotMRRₜ},Month,,B2B SaaS,Enterprise; Hybrid,Financials,Bookings; Revenue,CRM; ERP; Billing & Invoicing,Finance,Sales
Paid Social Spend,$,PaidSocSpend,,,Atomic,"The sum of spend on paid social media campaign activities (promoted social media posts and ads) in the period, inclusive of third-party agency spend.",,"Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Hybrid,Financials; Demand Generation,Acquisition Spend; Social,Marketing Automation,Marketing,Finance
Video Ad Spend,$,VideoAdSpend,,,Atomic,The sum of spend incurred on video advertising in the period.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Financials; Demand Generation,Acquisition Spend; Performance Marketing,Marketing Automation,Marketing,Finance
Expansion MRR,$,ExpandMRR,,MRR,Atomic,"The sum of additional MRR booked in the period by upsells, cross-sells, add-ons, or expanded usage from existing Customers.",,Month,[Opportunity Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials; Growth,Revenue; Account Growth,CRM; ERP; Billing & Invoicing,Customer Success,Finance
MRR Growth Rate,%,MRRGrowthRate,TotMRR; TotMRR,,Composite,The rate of growth in Total MRR between the prior period and the current one.,({TotMRRₜ} - {TotMRRₜ₋₁}) / {TotMRRₜ₋₁},Month,,B2B SaaS,Enterprise; Hybrid,Growth; Financials,Revenue Growth,CRM; ERP; Billing & Invoicing,Finance,
MRR CMGR,%,MRRCMG,MRR; MRR,,Composite,The rate of growth at which Total MRR has compounded monthly over the past 12 months.,(MRRₜ/MRRₜ₋₁₂)¹/¹² -1,Month,,B2B SaaS,Enterprise; Hybrid,Growth; Financials,Revenue Growth,CRM; ERP; Billing & Invoicing,Finance,
Upsell and Expansion Spend,$,UpsellExpandSpend,,Upsell and Expansion Activities,Atomic,"The sum of fully-loaded spend across Sales, Marketing, and Customer Success that can be allocated to Upsell and Expansion Activities in the period.",,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Operational Spend; Account Growth,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Upsell and Expansion CAC,$,UpsellExpandCAC,UpsellExpandSpend; ExpandCust,,Composite,The ratio of Upsell and Expansion Spend against Expansion Customers.,{UpsellExpandSpendₜ} / {ExpandCustₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Capital Efficiency; Account Growth,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Expansion Bookings,$,ExpandBks,,Contract Value; Expansion Opportunities,Atomic,The sum of Contract Value across all Expansion Opportunities won in the period.,,"Month, Quarter",[Opportunity Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty; Growth,Bookings; Account Growth; Expansion,CRM; ERP,Customer Success,Finance
Churned MRR,$,ChurnMRR,,MRR,Atomic,The sum of MRR lost from customers who have entirely churned in the period.,,Month,[Opportunity Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Churn & Attrition; Revenue,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Contraction MRR,$,CtrctMRR,,MRR,Atomic,The sum of MRR lost from customers decreasing (without churning) their revenue contribution (as through downgrades or partial cancellations) in the current period relative to the prior period.,,Month,[Opportunity Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Churn & Attrition; Revenue,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Resurrection MRR,$,ResurrMRR,,MRR,Atomic,The sum of MRR gained from customers who had churned in a prior period but have resumed a subscription in the current period.,,Month,[Opportunity Dims]; [Customer Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Churn & Attrition; Revenue,CRM; ERP; Billing & Invoicing,Sales,Customer Success
Retention Spend,$,RetnSpend,,,Atomic,"The sum of fully-loaded spend incurred in the period related to staffing, tools/software, customer marketing, training, promotional incentives, and loyalty programs aimed at retaining customers.",,"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Operational Spend; Retention Initiatives,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Cost To Retain,$,CTRet,RetnSpend; TotCust,,Composite,The ratio of Retention Spend against Total Customers.,{RetnSpendₜ} / {TotCustₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Capital Efficiency; Retention Initiatives,CRM; ERP,Customer Success,Finance
Exposed MRR,$,ExposMRR,,Contracts; MRR,Atomic,The sum of MRR across all Contracts that expire in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Exposed ACV,$,ExposACV,,Contracts; ACV,Atomic,The sum of Annualized Contract Value across Contracts that expire in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Renewed MRR,$,RenewMRR,,MRR,Atomic,The sum of MRR across all contracts successfully renewed in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Renewals; Revenue,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Won Renewal MRR,$,WonRenewMRR,,MRR; Renewal Opportunities,Atomic,The sum of MRR across Renewal Opportunities that were successfully won in the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Renewals; Revenue,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Won Renewal Bookings,$,WonRenewBks,,Renewal Opportunities; Contract Value,Atomic,The sum of Contract Value across Renewal Opportunities that were successfully won in the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Financials; Loyalty,Renewals; Bookings,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Lost Renewal MRR,$,LostRenewMRR,,Renewal Opportunities; MRR,Atomic,The sum of MRR across Renewal Opportunities that were lost in the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Customer Growth Rate,%,CustGrowthRate,TotCust; TotCust,,Composite,The rate of growth in Total Customers from the prior period to the current period.,({TotCustₜ} - {TotCustₜ₋₁}) / {TotCustₜ₋₁},"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Growth,Account Growth,CRM,Sales; Marketing,Finance
Customer CMGR,%,CustCMG,Cust; Cust,,Composite,The rate of growth at which Total Customers has compounded monthly over the past 12 months.,({Custₜ} / {Custₜ₋₁₂})¹/¹² - 1,Month,[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Growth,Account Growth,CRM,Sales; Marketing,Finance
Growth Efficiency,r,GrowthEffic,SalesMktSpend; NewACV,,Composite,The ratio of Sales and Marketing Spend against New Annual Contract Value.,{SalesMktSpendₜ} / {NewACVₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Financials,Capital Efficiency,CRM; ERP,Finance,Sales; Marketing
Expanded Customers,n,ExpandCust,,Subscriptions; Customers,Atomic,The count of existing Customers as of the beginning of the period that expanded their Subscriptions or purchased additional products during the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP,Customer Success,Customer Success
Dollar-Based Net Expansion Rate,%,DollarNetExpandRate,ExpandMRR; TotMRR,,Composite,The ratio of Expansion MRR against Total MRR.,{ExpandMRRₜ} / {TotMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Loyalty; Growth,Revenue Growth,CRM; ERP; Billing & Invoicing,Finance,Customer Success; Product
Opened Expansion Opportunities,n,OpenExpandOpps,,Expansion Opportunities; Customer,Atomic,The count of Expansion Opportunities that were opened for existing Customers during the period.,,"Week, Month, Quarter",[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM,Customer Success,Sales Development
Working Expansion Opportunities,n,WrkngExpandOpps,,Expansion Opportunities; Customer,Atomic,The count of Expansion Opportunities being actively worked on with existing Customers during the period.,,"Week, Month, Quarter",[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM,Customer Success,Sales Development
Created Expansion Pipeline,$,CreatdExpandPipe,,Pipeline; Expansion Opportunities,Atomic,The sum of Pipeline across all Expansion Opportunities that were opened during the period.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Pipeline and Forecasting,Expansion,CRM,Customer Success,Sales Development
Discovery Complete Expansion Opportunities,n,DiscCompExpandOpps,,Expansion Opportunities,Atomic,The count of Expansion Opportunities for which the discovery process/needs analysis were completed during the period.,,"Week, Month, Quarter",[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM,Customer Success,Sales Development
Sent Expansion Opportunity Proposals,n,SentExpandProp,,Expansion Opportunities,Atomic,The count of Expansion Opportunities that were sent initial contract proposals in the period.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM; Proposal Management,Customer Success,Sales Development
Time to Sent Expansion Proposal,days,TimeToSentExpandProp,,Expansion Opportunities; Contracts,Atomic,"The average number of days between the opening of Expansion Opportunities and the buyer contacts for those Opportunities receiving formal proposal, for Expansion Opportunities that were sent proposals in the period.",,"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM; Proposal Management,Customer Success,Sales Development
Signed Expansion Contracts,n,SignedExpandCtrcts,,Expansion Opportunities,Atomic,The count of contracts for Expansion Opportunities that were fully executed in the period.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM; Contract Lifecycle Management,Customer Success,Legal
Time to Sign Expansion,days,TimeToSignExpand,,Expansion Opportunities; Contracts,Atomic,"The average number of days between contract proposals being sent for Expansion Opportunities and those proposals becoming signed and fully executed, for Expansion Opportunities won in the period.",,"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM; Contract Lifecycle Management,Customer Success,Legal
Won Expansion Deals,n,WonExpandDeals,,Expansion Opportunities,Atomic,The count of Expansion Opportunities that have been successfully won in the period.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Purchase,Expansion,CRM,Customer Success,None
Lost Expansion Deals,n,LostExpandDeals,,Expansion Opportunities,Atomic,The count of Expansion Opportunities that have been lost in the period.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM,Customer Success,None
Closed Expansion Opportunities,n,ClosedExpandOpps,,Expansion Opportunities,Atomic,The count of Expansion Opportunities that have been closed in the period as either won or lost.,,"Week, Month, Quarter",[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM,Customer Success,None
Expansion Opportunity Win Rate,%,ExpandOppWinRate,WonExpandDeals; ClosedExpandOpps,Expansion Opportunities,Composite,The ratio of Won Expansion Deals against Closed Expansion Opportunities.,{WonExpandDealsₜ} / {ClosedExpandOppsₜ},"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Purchase; Evaluation,Expansion; Opportunities,CRM,Customer Success,None
Expansion Opportunity Close Rate,%,ExpandOppCloseRate,,Expansion Opportunities,Atomic,The percent of Expansion Opportunities created in the period that were subsequently won.,,"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM,Customer Success,None
Expansion Opportunity Sales Cycle,days,ExpandOppSalesCycle,,Expansion Opportunities,Atomic,"The average number of days between the opening of Expansion Opportunities and when they are successfully won, for Expansion Opportunities won in the period.",,"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Evaluation,Expansion; Opportunities,CRM,Customer Success,None
